id,first_name,last_name,institution
121,R,Laibowitz,IBM Thomas J. Watson Research Center
122,D,Mitzi,IBM T. J. Watson Research Center
123,K,Liang,IBM T. J. Watson Research Center
124,A,Poglitsch,Max Planck Institute for Solid State Research
125,D,Weber,Max Planck Institute for Solid State Research
126,Osvald,Knop,Dalhousie University
127,Roderick,Wasylishen,Dalhousie University
128,Mary,White,Dalhousie University
129,T,Cameron,Dalhousie University
130,Michiel,Van Oort,Dalhousie University
131,I,Swainson,"Chalk River Laboratories, Ontario"
132,R,Hammond,"Chalk River Laboratories, Ontario"
133,C,Soulliere,"Chalk River Laboratories, Ontario"
134,O,Knop,"Dalhousie University, Canada"
135,W,Massa,"Philipps University, Germany"
136,Manoj K,Jana,"Department of Mechanical Engineering and Materials Science, Duke University"
137,Svenja M,Janke,"Department of Mechanical Engineering and Materials Science, Duke University; Department of Chemistry, Duke University;"
138,David J,Dirkes,"Department of Chemistry, University of North Carolina at Chapel Hill"
139,Seyitliyev,Dovletgeldi,"Department of Physics, North Carolina State University"
140,Chi,Liu,"Department of Chemistry, Duke University"
141,Xixi,Qin,"Department of Mechanical Engineering and Materials Science, Duke University"
142,Kenan,Gundogdu,"Department of Physics, North Carolina State University"
143,Wei,You,"Department of Chemistry, University of North Carolina at Chapel Hill"
144,Volker,Blum,"Department of Mechanical Engineering and Materials Science, Duke University; Department of Chemistry, Duke University"
145,David B,Mitzi,"Department of Mechanical Engineering and Materials Science, Duke University; Department of Chemistry, Duke University"
146,Tianshu,Li,"State Key Laboratory of Superhard Materials, Key Laboratory of Automobile Materials of MOE, and College of Materials Science and Engineering, Jilin University, Changchun 130012, China"
147,Xingang,Zhao,"State Key Laboratory of Superhard Materials, Key Laboratory of Automobile Materials of MOE, and College of Materials Science and Engineering, Jilin University, Changchun 130012, China"
148,Dongwen,Yang,"State Key Laboratory of Superhard Materials, Key Laboratory of Automobile Materials of MOE, and College of Materials Science and Engineering, Jilin University, Changchun 130012, China"
149,Mao-Hua,Du,"Materials Science and Technology Division, Oak Ridge National Laboratory, Oak Ridge, Tennessee 37831, USA"
150,Lijun,Zhang,"State Key Laboratory of Superhard Materials, Key Laboratory of Automobile Materials of MOE, and College of Materials Science and Engineering, Jilin University, Changchun 130012, China"
152,Wiley A.,Dunlap-Shohl,"Department of Mechanical Engineering and Materials Science, Duke University, Durham, USA"
153,E. Tomas,Barraza,"Department of Electrical and Computer Engineering, Duke University, Durham, USA"
154,Andrew,Barrette,"Department of Physics, North Carolina State University, Raleigh, USA"
155,Seyitliyev,Dovletgeldi,"Department of Physics, North Carolina State University, Raleigh, USA"
156,Gamze,Findik,"Department of Physics, North Carolina State University, Raleigh, USA"
157,David J.,Dirkes,"Department of Chemistry, University of North Carolina at Chapel Hill, Chapel Hill, USA"
158,Chi,Liu,"Department of Chemistry, Duke University, Durham, USA"
159,Manoj K.,Jana,"Department of Mechanical Engineering and Materials Science, Duke University, Durham, USA"
160,Volker,Blum,"Department of Mechanical Engineering and Materials Science, Duke University, Durham, USA"
161,Wei,You,"Department of Chemistry, University of North Carolina at Chapel Hill, Chapel Hill, USA"
162,Kenan,Gundogdu,"Department of Physics, North Carolina State University, Raleigh, USA"
163,Adrienne D.,Stiff-Roberts,"Department of Electrical and Computer Engineering, Duke University, Durham, USA"
164,David B.,Mitzi,"Department of Mechanical Engineering and Materials Science, Duke University, Durham, USA"
165,Daniele,Meggiolaro,"Computational Laboratory for Hybrid/Organic Photovoltaics (CLHYO), Istituto CNR di Scienze e Tecnologie Molecolari (ISTM-CNR), CompuNet, Istituto Italiano di Tecnologia"
166,Edoardo,Mosconi,"Computational Laboratory for Hybrid/Organic Photovoltaics (CLHYO), Istituto CNR di Scienze e Tecnologie Molecolari (ISTM-CNR)"
167,Filippo,De Angelis,"Computational Laboratory for Hybrid/Organic Photovoltaics (CLHYO), Istituto CNR di Scienze e Tecnologie Molecolari (ISTM-CNR), CompuNet, Istituto Italiano di Tecnologia, Department of Chemistry, Biology and Biotechnology, University of Perugia"
168,Emma R,Dohner,"Department of Chemistry, , Stanford University"
169,Eric T,Hoke,"Geballe Laboratory for Advanced Materials, Stanford University"
