id,first_name,last_name,institution
374,David,Mitzi,"Department of Mechanical Engineering and Materials Science, Duke University"
375,Yanfa,Yan,"Department of Physics and Astronomy, The University of Toledo"
376,Titel,Suranme,Duke University
377,Constantinos,C. Stoumpos," Department of Chemistry, Northwestern University"
378,Laszlo,Frazer," Department of Physics and Astronomy, Northwestern University"
379,Daniel. J.,Clark,"Department of Physics, Applied Physics and Astronomy, State University of New York (SUNY) at Binghamton"
380,Yong Soo,Kim,"Department of Physics, Applied Physics and Astronomy, State University of New York (SUNY) at Binghamton"
381,Sonny H.,Rhim," Department of Physics and Astronomy, Northwestern University"
382,Arthur J.,Freeman," Department of Physics and Astronomy, Northwestern University"
383,John B.,Ketterson," Department of Physics and Astronomy, Northwestern University"
384,Joon I.,Jang,"Department of Physics, Applied Physics and Astronomy, State University of New York (SUNY) at Binghamton"
385,Mercouri G.,Kanatzidis," Department of Physics and Astronomy, Northwestern University"
386,Chenkun ,Zhou,Florida State University
387,Mingchao,Wang,Florida State University
388,Alyssa,Rose,Florida State University
389,Nicholas,Doyle,Florida State University
390,Zhao,Yuan,Florida State University
391,Yanyan,Hu,Florida State University
392,Shangchao,Lin,Florida State University
393,Annalise,Maughan,"Department of Chemistry, Colorado State University"
394,Joshua,Kurzman,"Department of Chemistry, Colorado State University"
395,James,Neilson,"Department of Chemistry, Colorado State University"
396,Michael,Daub,"Institute of Inorganic and Analytical Chemistry, Albert-Ludwigs-Universitat"
397,Harald ,Hillebrecht,"Freiburger Materialforschungszentrum FMF, Albert-Ludwigs-Universitat"
398,A,B,C
399,Constantinos,Stoumpos,"Department of Chemistry, Northwestern University, 2145 Sheridan Road, Evanston, Illinois 60208, United States"
400,Duyen,Cao,"Department of Chemistry, Northwestern University, 2145 Sheridan Road, Evanston, Illinois 60208, United States"
401,Daniel,Clark,"Department of Physics, Applied Physics and Astronomy, Binghamton University, P.O. Box 6000, Binghamton, New York 13902, United States"
402,Joshua,Young,"Department of Materials Science and Engineering, Drexel University, 3141 Chestnut Street, Philadelphia, Pennsylvania 19102, United States, and Department of Materials Science and Engineering, Northwestern University, 2220 Campus Drive, Evanston, Illinois 60208, United States"
403,James ,Rondinelli,"Department of Materials Science and Engineering, Northwestern University, 2220 Campus Drive, Evanston, Illinois 60208, United States"
404,Joon,Jang,"Department of Physics, Applied Physics and Astronomy, Binghamton University, P.O. Box 6000, Binghamton, New York 13902, United States"
405,Joseph,Hupp,"Department of Chemistry, Northwestern University, 2145 Sheridan Road, Evanston, Illinois 60208, United States"
406,Mercouri,Kanatzidis,"Department of Chemistry, Northwestern University, 2145 Sheridan Road, Evanston, Illinois 60208, United States"
407,Yu,Shu,Florida State University
408,Joshua ,Messier,Florida State University
409,Konstantinos ,Kountouriotis,Florida State University
410,Yan,Xin,Florida State University
411,Ethan ,Holt,University of Florida
412,Kirk,Schanze,University of Florida
413,Ian,Smith,"Department of Chemistry, Stanford University Stanford, CA 94305 (USA)"
414,Erik,Hoke,"Department of Materials Science and Engineering Stanford University, Stanford, CA 94305 (USA)"
415,Diego ,Solis-Ibarra,"Department of Chemistry, Stanford University Stanford, CA 94305 (USA)"
416,Michael ,McGehee,"Department of Materials Science and Engineering Stanford University, Stanford, CA 94305 (USA)"
417,Hemamala  ,Karunadasa,"Department of Chemistry, Stanford University Stanford, CA 94305 (USA)"
418,Haoran,Lin,Florida State University
419,Peter,Djurovich,"University of Southern California, Los Angeles"
420,Biwu,Wu,Florida State University
421,Matthew,Hautzinger,University of Wisconsin--Madison
422,Jun,Dai,Jiangsu University of Science and Technology
423,Yujin,Ji,Soochow University
424,Yongping,Fu,University of Wisconsin--Madison
425,Jie,Chen,University of Wisconsin--Madison
426,Ilia,Guzei,University of Wisconsin--Madison
427,John,Wright,University of Wisconsin--Madison
428,Youyong,Li,Soochow University
429,Song,Jin,University of Wisconsin--Madison
430,Jun,Yin,"Division of Physical Science and Engineering, King Abdullah University of Science and Technology, Thuwal 23955-6900, Kingdom of Saudi Arabia"
431,Partha ,Maity,"Division of Physical Science and Engineering, King Abdullah University of Science and Technology, Thuwal 23955-6900, Kingdom of Saudi Arabia"
432,Liangjin ,Xu,"Division of Physical Science and Engineering, King Abdullah University of Science and Technology, Thuwal 23955-6900, Kingdom of Saudi Arabia"
433,Ahmed M., El-Zohry,"Division of Physical Science and Engineering, King Abdullah University of Science and Technology, Thuwal 23955-6900, Kingdom of Saudi Arabia"
434,Hong ,Li,"School of Chemistry and Biochemistry, Center for Organic Photonics and Electronics (COPE), Georgia Institute of Technology, Atlanta, Georgia 30332-0400, United States"
435,Osman M. ,Bakr,"Division of Physical Science and Engineering, King Abdullah University of Science and Technology, Thuwal 23955-6900, Kingdom of Saudi Arabia"
436,Jean-Luc,Bredas,"School of Chemistry and Biochemistry, Center for Organic Photonics and Electronics (COPE), Georgia Institute of Technology, Atlanta, Georgia 30332-0400, United States"
437,OmarF.,Mohammed,"Division of Physical Science and Engineering, King Abdullah University of Science and Technology, Thuwal 23955-6900, Kingdom of Saudi Arabia"
438,Tan Doan,Huan,"Institute of Engineering Physics, Hanoi University of Science and Technology"
439,Vu Ngoc,Tuoc,"Institute of Engineering Physics, Hanoi University of Science and Technology"
440,Nguyen Viet,Minh,"Institute of Engineering Physics, Hanoi University of Science and Technology"
441,Bogdan,Benin,ETH Zurich
442,Dmitry,Dirin,ETH Zurich
443,Viktoriia,Morad,ETH Zurich
444,Michael,Worle,ETH Zurich
445,Sergii,Yakunin,ETH Zurich
446,Gabriele,Raino,ETH Zurich
447,Olga,Nazarenko,ETH Zurich
448,Markus,Fischer,ETH Zurich
449,Ivan,Infante,Vrije Universiteit Amsterdam
450,Maksym,Kovalenko,Empa - Swiss Federal Laboratories for Materials
451,Guanhong,Wu,Fudan University
452,Chenkun,Zhou,FAMU-FSU College of Engineering
453,Wenmei,Ming,Oak Ridge National Laboratory
454,Dan,Han,Oak Ridge National Laboratory
455,Shiyou,Chen,East China Normal University
456,Dong,Yang,Fudan University
457,Mao-Hua,Du,Oak Ridge National Laboratory
458,Biwu,Ma,FAMU-FSU College of Engineering
459,Angang,Dong,Fudan University
460,Zhao,Yuan,FAMU-FSU College of Engineering
461,Haoran,Lin,FAMU-FSU College of Engineering
462,Tristan,Dilbeck,Florida State University
463,Joseph,Hurley,Florida State University
464,Jennifer,Neu,FAMU-FSU College of Engineering
465,Tiglet,Besara,FAMU-FSU College of Engineering
466,Theo,Siegrist,FAMU-FSU College of Engineering
467,Andreas,Lemmerer,University of the Witwatersrand
468,David,Billing,University of the Witwatersrand
469,S,Wang,University of Houston
470,C,Feild,IBM T. J. Watson Research Center
471,C,Chess,IBM T. J. Watson Research Center
472,A,Guloy,University of Houston
473,David G,Billing,"Molecular Sciences Institute, School of Chemistry, University of the Witwatersrand"
474,Andreas ,Lemmerer,"Molecular Sciences Institute, School of Chemistry, University of the Witwatersrand"
475,Shumin,Wang,University of Houston
476,Chris,Feild,IBM T. J. Watson Research Center
477,Arnold,Guloy,University of Houston
478,David,Billing,"University of the Witwatersrand,"
479,Andreas,Lemmerer,"University of the Witwatersrand,"
480,Vijayashree,Chakravarthy,University of Houston
481,Christos,Dimitrakopoulos,IBM T. J. Watson Research Center
482,Laura,Kosbar,IBM T. J. Watson Research Center
483,Susan,Bourne,University of Cape Town
484,Zelo,Mangombo,University of Cape Town
485,Tianyang,Li,Duke University
486,Andrew,Zeidell,Wake Forest University
487,Gamze,Findik,North Carolina State University
488,Wiley,Dunlap-Shohl,Duke University
489,Julie,Euvrard,Duke University
490,Kenan,Gundogdu,North Carolina State University
491,Oana,Jurchescu,Wake Forest University
492,Xu-Hui,Zhu,Ingenierie Moleculaire et Materiaux Organiques
493,Nicolas,Mercier,Ingenierie Moleculaire et Materiaux Organiques
494,Pierre,Frere,Groupe Systemes Conjugues Lineaires
495,Philippe,Blanchard,Groupe Systemes Conjugues Lineaires
496,Jean,Roncali,Groupe Systemes Conjugues Lineaires
497,Magali,Allain,Ingenierie Moleculaire et Materiaux Organiques
498,Claude,Pasquier,Laboratoire de Physique des Solides
499,Amedee,Riou,Ingenierie Moleculaire et Materiaux Organiques
500,George,Volonakis,University of Oxford
501,Amir,Haghighirad,University of Oxford
502,Rebecca,Milot,University of Oxford
503,Weng,Sio,University of Oxford
504,Marina,Filip,University of Oxford
505,Bernard,Wenger,University of Oxford
506,Feliciano,Giustino,University of Oxford
507,Annalise,Maughan,Colorado State University
508,Alex,Ganose,University College London
509,Mitchell,Bordelon,Colorado State University
510,Elisa,Miller,National Renewable Energy Laboratory
511,David,Scanlon,University College London
512,Andreas ,Lemmerer,"Molecular Sciences Institute, School of Chemistry, University of the Witwatersrand, Johannesburg, PO WITS 2050, South Africa."
513,David G. ,Billing,"Molecular Sciences Institute, School of Chemistry, University of the Witwatersrand, Johannesburg, PO WITS 2050, South Africa."
514,Fengxia ,Wei,"Department of Materials Science and Metallurgy, University of Cambridge"
515,Zeyu ,Deng,"Department of Materials Science and Metallurgy, University of Cambridge"
516,Shijing ,Sun,"Department of Materials Science and Metallurgy, University of Cambridge"
517,Fei ,Xie,"Department of Materials Science and Metallurgy, University of Cambridge"
518,Gregor ,Kieslich,"Department of Materials Science and Metallurgy, University of Cambridge"
519,Donald M. ,Evans,"Department of Earth Sciences, University of Cambridge"
520,Michael A. ,Carpenter,"Department of Earth Sciences, University of Cambridge"
521,Paul D. ,Bristowea,"Department of Materials Science and Metallurgy, University of Cambridge"
522,Anthony K. ,Cheetham,"Department of Materials Science and Metallurgy, University of Cambridge"
523,Yukari ,Takahashi,"Ricoh Software Inc., Hakuyo-cho, Kitami 090-0013, Japan"
524,Rena,Obara,"Ricoh Software Inc., Hakuyo-cho, Kitami 090-0013, Japan"
525,Kohei ,Nakagawa,"Canon Inc., Inkjet Supply Material Development Center, Saiwai-ku, Kawasaki 212-8530, Japan."
526,Masayuki ,Nakano,"DOWA Semiconductor Akita Inc., 1 Sunada, Iijima, Akita 011-0911, Japan."
527,Jun-ya, Tokita,"AsahiKASEI Chemicals Corporation, Nobeoka 882-0015, Japan."
528,Tamotsu ,Inabe,"DiVision of Chemistry, Graduate School of Science, Hokkaido UniVersity, Sapporo 060-0810, Japan"
529,Wei-Qiang ,Liao,"Ordered Matter Science Research Center, Southeast University, Nanjing 211189, PR China"
530,Guang-Quan ,Mei,"Key Laboratory of Jiangxi University for Applied Chemistry and Chemical Biology, Yichun University, Yichun 336000, China"
531,Heng-Yun ,Ye,"Ordered Matter Science Research Center, Southeast University, Nanjing 211189, PR China"
532,Ying-Xuan ,Mei,"Key Laboratory of Jiangxi University for Applied Chemistry and Chemical Biology, Yichun University, Yichun 336000, China"
533,Yi ,Zhang,"Ordered Matter Science Research Center, Southeast University, Nanjing 211189, PR China"
534,Nicolas ,Mercier,"ngenierie Moleculaire et Materiaux Organiques, UMR-CNRS 6501, 2 Bd Lavoisier, 49045 Angers, France"
535,Amedee ,Riou,"ngenierie Moleculaire et Materiaux Organiques, UMR-CNRS 6501, 2 Bd Lavoisier, 49045 Angers, France"
536,Nicolas ,Mercier,"Laboratoire de Chimie, Inge'nierie Mole'culaire et Mate'riaux d'Angers, UMR-CNRS 6200, UniVersite' d'Angers 2 Bd LaVoisier, 49045 Angers, France"
537,Sylvain ,Poiroux,"Laboratoire de Chimie, Inge'nierie Mole'culaire et Mate'riaux d'Angers, UMR-CNRS 6200, UniVersite' d'Angers 2 Bd LaVoisier, 49045 Angers, France"
538,Ame'de'e ,Riou,"Laboratoire de Chimie, Inge'nierie Mole'culaire et Mate'riaux d'Angers, UMR-CNRS 6200, UniVersite' d'Angers 2 Bd LaVoisier, 49045 Angers, France"
539,Patrick ,Batail,"Laboratoire de Chimie, Inge'nierie Mole'culaire et Mate'riaux d'Angers, UMR-CNRS 6200, UniVersite' d'Angers 2 Bd LaVoisier, 49045 Angers, France"
540,Xu-Hui ,Zhu,"Ingenierie Moleculaire et Materiaux Organiques, UMR-CNRS 6501, 2 Bd Lavoisier, 49045 Angers, France."
541,Nicolas ,Mercier,"Ingenierie Moleculaire et Materiaux Organiques, UMR-CNRS 6501, 2 Bd Lavoisier, 49045 Angers, France."
542,Amedee ,Riou,"Ingenierie Moleculaire et Materiaux Organiques, UMR-CNRS 6501, 2 Bd Lavoisier, 49045 Angers, France."
543, Philippe ,Blanchard ,"Ingenierie Moleculaire et Materiaux Organiques, UMR-CNRS 6501, 2 Bd Lavoisier, 49045 Angers, France."
544,Pierre,Frere,"Ingenierie Moleculaire et Materiaux Organiques, UMR-CNRS 6501, 2 Bd Lavoisier, 49045 Angers, France."
545,Wei,Li,"Department of Materials Science and Metallurgy, University of Cambridge"
546,A., Thirumurugan,"School of Chemistry, Indian Institute of Science Education and Research (IISER-TVM)"
547,Phillip ,Barton,"Materials Research Laboratory (MRL) and Materials Department, University of California, Santa Barbara"
548,Zheshuai,Lin,"Beijing Center of Crystal R&D, Technical Institute of Physics and Chemistry, Chinese Academy of Sciences"
549,Sebastian,Henke,"Department of Materials Science and Metallurgy, University of Cambridge"
550,Hamish,Yeung,"Department of Materials Science and Metallurgy, University of Cambridge; International Center for Young Scientists (ICYS), International Center for Materials Nanoarchitectonics (WPI-MANA), National Institute for Materials Science"
551,Michael,Wharmby,"Department of Materials Science and Metallurgy, University of Cambridge"
552,Erica,Bithell,"Institute of Continuing Education, University of Cambridge"
553,Christopher,Howard,"School of Engineering, University of Newcastle"
554,Anthony,Cheetham,"Department of Materials Science and Metallurgy, University of Cambridge"
555,Di,Gui,"School of Physics and Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology"
556,Lijun,Ji,"School of Physics and Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology"
557,Azeem,Muhammad,"School of Physics and Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology"
558,Wei,Li,"School of Physics and Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology"
559,Weizhao,Cai,"Department of Physics and Astronomy, University of Utah"
560,Yanchun,Li,"Beijing Synchrotron Radiation Facility, Institute of High Energy Physics, Chinese Academy of Sciences"
561,Xiaodong,Li,"Beijing Synchrotron Radiation Facility, Institute of High Energy Physics, Chinese Academy of Sciences"
562,Xiang,Wu,"State Key Laboratory of Geological Processes and Mineral Resources, China University of Geosciences"
563,Peixiang,Lu,"School of Physics and Wuhan National Laboratory for Optoelectronics, Huazhong University of Science and Technology; Laboratory for Optical Information Technology, Wuhan Institute of Technology"
564,Tao,Liu,"State Key Laboratory of Rare Earth Materials Chemistry and Applications, College of Chemistry and Molecular Engineering, Peking UniVersity"
565,Yanjuan,Zhang,"State Key Laboratory of Rare Earth Materials Chemistry and Applications, College of Chemistry and Molecular Engineering, Peking UniVersity"
566,Zheming,Wang,"State Key Laboratory of Rare Earth Materials Chemistry and Applications, College of Chemistry and Molecular Engineering, Peking UniVersity"
567,Song,Gao,"State Key Laboratory of Rare Earth Materials Chemistry and Applications, College of Chemistry and Molecular Engineering, Peking UniVersity"
568,Zheming,Wang,Peking University
569,Xueyue,Zhang,Peking University
570,Stuart,Batten,Monash University
571,Mohamedally,Kurmoo,Universite' Louis Pasteur
572,Song,Gao,Peking University
573,Xinyi,Wang,"State Key Laboratory of Rare Earth Materials Chemistry and Applications & PKU-HKU Joint Laboratory on Rare Earth Materials and Bioinorganic Chemistry, College of Chemistry and Molecular Engineering, Peking UniVersity"
574,Lin,Gan,"State Key Laboratory of Rare Earth Materials Chemistry and Applications & PKU-HKU Joint Laboratory on Rare Earth Materials and Bioinorganic Chemistry, College of Chemistry and Molecular Engineering, Peking UniVersity"
575,Shiwei,Zhang,"State Key Laboratory of Rare Earth Materials Chemistry and Applications & PKU-HKU Joint Laboratory on Rare Earth Materials and Bioinorganic Chemistry, College of Chemistry and Molecular Engineering, Peking UniVersity"
576,Song,Gao,"State Key Laboratory of Rare Earth Materials Chemistry and Applications & PKU-HKU Joint Laboratory on Rare Earth Materials and Bioinorganic Chemistry, College of Chemistry and Molecular Engineering, Peking UniVersity"
577,Majid ,Safdari,"Applied Physical Chemistry, Department of Chemistry, KTH Royal Institute of Technology, SE-100 44, Stockholm, Sweden"
578,Per H. ,Svensson,"SP Process Development, Forskargatan, 15121 Sodertalje, Sweden,Applied Physical Chemistry, Department of Chemistry, KTH Royal Institute of Technology, SE-100 44, Stockholm, Sweden."
579,Minh Tam ,Hoang,"Department of Applied Chemistry, Kumoh National Institute of Technology, Gumi, Gyeongbuk, Korea"
580,Ilwhan, Oh ,"Department of Applied Chemistry, Kumoh National Institute of Technology, Gumi, Gyeongbuk, Korea"
581,Lars, Kloo,"Applied Physical Chemistry, Department of Chemistry, KTH Royal Institute of Technology, SE-100 44, Stockholm, Sweden."
582,James M. ,Gardner,"Applied Physical Chemistry, Department of Chemistry, KTH Royal Institute of Technology, SE-100 44, Stockholm, Sweden"
583,Georgios,Papavassiliou,National Hellenic Research Foundation
584,Ioannis,Koutselas,National Hellenic Research Foundation
585,Aris,Terzis,Institute for Materials Research
586,Myung,Whangbo,North Carolina State University
587,Georgios,Papavassili,National Hellenic Research Foundation
588,Dimitrious,Lagouvardos,National Hellenic Research Foundation
589,Bo,Huang,Sun Yat-Sen University
590,Lin-Ying,Sun,Sun Yat-Sen University
591,Sha-Sha,Wang,Sun Yat-Sen University
592,Jian-Yu,Zhang,Sun Yat-Sen University
593,Cheng-Min,Ji,Chinese Academy of Sciences
594,Jun-Hua,Luo,Chinese Academy of Sciences
595,Wei-Xiong,Zhang,Sun Yat-Sen University
596,Xiao-Ming,Chen,Sun Yat-Sen University
597,Xiu-Ni,Hua,Southeast University
598,Ji-Xing,Gao,Southeast University
599,Xiao-Gang,Chen,Southeast University
600,Peng-Fei,Li,Nanchang University
601,Guang-Quan,Mei,Yichun University
602,Wei-Qiang,Liao,Southeast University
603,Yu-Meng,You,Southeast University
604,Dewei,Zhao, University of Toledo
605,Heng-Yun,Ye,Southeast University
606,Yi,Zhang,Southeast University
607,Qionghua,Zhou, Southeast University
608,Xianghong,Niu, Southeast University
609,Jinlan,Wang, Southeast University
610,Peng-Fei,Li,Southeast University
611,Da-Wei,Fu,Southeast University
612,Zheming,Wang, Peking University
613,Song,Gao, Peking University
614,Kunlun,Yang, Nanjing University
615,Jun-Ming,Liu, Nanjing University
616,Jiangyu,Li, Shenzhen Institutes of Advanced Technology
617,Yanfa,Yan, University of Toledo
618,Ren-Gen,Xiong,Southeast University
619,Chen,Xue,Nanjing Tech University
620,Zhi-Yuan,Yao,Nanjing Tech University
621,Jin,Zhang,Nanjing Tech University
622,Wen-Long,Liu,Yangzhou University
623,Jian-Lan,Liu,Nanjing Tech University
624,Xiao-Ming,Ren,Nanjing Tech University
625,Alberto,Garcia-Fernandez,University of A Coruna
626,Juan,Bermudez-Garcia,University of A Coruna
627,Socorro,Castro-Garcia,University of A Coruna
628,Antonio,Llamas-Saiz,University of Santiago de Compostela
629,Ramon,Artiaga,University of A Coruna
630,Jorge,Beceiro,University of A Coruna
631,Hu,Shunbo,Shanghai University
632,Wei,Ren,Shanghai University
633,Alessandro,Stroppa,Shanghai University
634,Manuel,Andujar,University of A Coruna
635,Maria,Senaris-Rodriguez,University of A Coruna
636,Meng-Lei,Wang,Nanjing Tech University
637,Xuan-Rong,Chen,Yancheng Teachers University
638,Yuan-Bo,Tong,Nanjing Tech University
639,Guo-Jun,Yuan,Nanjing Tech University
640,Alberto,Garcia-Fernandez,University of Coruna
641,Juan,Bermudez-Garcia,University of Coruna
642,Socorro,Castro-Garcia,University of Coruna
643,Ramon,Artiaga,University of Coruna
644,Jorge,Lopez-Beceiro,University of Coruna
645,Manuel,Sanchez-Andujar,University of Coruna
646,Maria,Senaris-Rodriguez,University of Coruna
647,Xueqing,Chang et  al.,"Universita degli studi di Cagliari, Italy"
648,Rahul,Rahul,"Department of Applied Sciences and Humanities, Jamia Millia Islamia, New Delhi 110025, India"
649,Pramod,K. Singh,"Material Research Laboratory, School of Basic Sciences and Research, Sharda University, G. Noida, 201310, India"
650,Rahul,Singh,"Material Research Laboratory, School of Basic Sciences and Research, Sharda University, G. Noida, 201310, India"
651,Vijay,Singh,"Department of Chemical Engineering, Konkuk University, Seoul, 143-701, Republic of Korea"
652,B.,Battacharya,"Material Research Laboratory, School of Basic Sciences and Research, Sharda University, G. Noida, 201310, India"
653,Zishan,H. Khan,"Department of Applied Sciences and Humanities, Jamia Millia Islamia, New Delhi 110025, India"
654,Min-Cherl,Jung,"Energy Materials and Surface Sciences Unit (EMSS), Okinawa Institute of Science and Technology Graduate University (OIST), 1919-1 Tancha, Onna-son, Okinawa, Japan"
655,Sonia,R. Raga,"Energy Materials and Surface Sciences Unit (EMSS), Okinawa Institute of Science and Technology Graduate University (OIST), 1919-1 Tancha, Onna-son, Okinawa, Japan"
656,Yabing,Qi,"Energy Materials and Surface Sciences Unit (EMSS), Okinawa Institute of Science and Technology Graduate University (OIST), 1919-1 Tancha, Onna-son, Okinawa, Japan"
657,Dhanashree,Moghe et al.,"Department of Chemical Engineering and Materials Science, Michigan State University, East Lansing, MI 48824, USA"
658,Meng,Zhang et al.,"Nanomaterials Centre, School of Chemical Engineering and AIBNThe University of QueenslandSt Lucia, BrisbaneAustralia"
659,Ze-long,Xiao et al.,"Department of Polymer Science and Engineering, State Key Lab of Silicon Materials, Zhejiang University, Hangzhou 310027, China"
660,Marie-Helene,Tremblay,"Center for Organic Photonics and Electronics (COPE), School of Chemistry and Biochemistry, Georgia Institute of Technology,"
661,John ,Bacsa,"Crystallography Lab, Emory University"
662,Boqin ,Zhao,"Center for Organic Photonics and Electronics (COPE), School of Chemistry and Biochemistry, Georgia Institute of Technology"
663,Federico,Pulvirenti,"Center for Organic Photonics and Electronics (COPE), School of Chemistry and Biochemistry, Georgia Institute of Technology"
664,Stephen ,"Barlow,","Center for Organic Photonics and Electronics (COPE), School of Chemistry and Biochemistry, Georgia Institute of Technology"
665,Seth R,Marder,"Center for Organic Photonics and Electronics (COPE), School of Chemistry and Biochemistry, Georgia Institute of Technology"
666,Xiaotong ,Li,"Department of Chemistry and Light Energy Activated Redox Processes Center, Northwestern University"
667,Justin ,Hoffman,"Department of Chemistry and Light Energy Activated Redox Processes Center, Northwestern University, Los Alamos National Laboratory"
668,Weijun,Ke,"Department of Chemistry and Light Energy Activated Redox Processes Center, Northwestern University"
669,Michelle ,Chen,"Department of Chemistry and Light Energy Activated Redox Processes Center, Northwestern University"
670,Hsinhan ,Tsai,Los Alamos National Laboratory
671,Wanyi ,Nie,Los Alamos National Laboratory
672,Aditya D. ,Mohite,"Department of Chemical and Biomolecular Engineering, Rice University"
673,Mikael ,Kepenekian,"Univ Rennes, ENSCR, INSA Rennes, CNRS, ISCR (Institut des Sciences Chimiques de Rennes) "
674,Claudine ,Katan,"Univ Rennes, ENSCR, INSA Rennes, CNRS, ISCR (Institut des Sciences Chimiques de Rennes) "
675,Jacky ,Even,"Univ Rennes, INSA Rennes, CNRS, Institut FOTON"
676,Michael R. ,Wasielewski,"Department of Chemistry and Light Energy Activated Redox Processes Center, Northwestern University"
677,Constantinos C. ,Stoumpos,"Department of Chemistry and Light Energy Activated Redox Processes Center, Northwestern University"
678,Mercouri G. ,Kanatzidis,"Department of Chemistry and Light Energy Activated Redox Processes Center, Northwestern University"
679,Xiaolei,Li et al.,"Key Laboratory of Low Dimensional Materials and Application Technology of Ministry of Education, School of Materials Science and Engineering, Xiangtan University, Xiangtan 411105, People's Republic of China"
680,Miaoqiang,Lyu et al.," Nanomaterials Centre, School of Chemical Engineering and AIBN, The University of Queensland, St Lucia, Brisbane, QLD 4072, Australia "
681,Karunakara Moorthy,Boopathi et al.,"Research Center for Applied Science, Academia Sinica, Taipei 115, Taiwan"
682,Xiaotong ,Li,"Department of Chemistry, Northwestern University, Illinois 60208, United States"
683,Weijun ,Ke,"Department of Chemistry, Northwestern University, Illinois 60208, United States"
684,Boubacar ,Traore,"Univ Rennes, INSA Rennes, CNRS, Institut FOTON, UMR 6082, Rennes F-35000, France"
685,Peijun ,Guo,"Center for Nanoscale Materials, Argonne National Laboratory, Illinois 60439, United States"
686,Ido ,Hadar,"Department of Chemistry, Northwestern University, Illinois 60208, United States"
687,Mikael ,Kepenekian,"Univ Rennes, ENSCR, INSA Rennes, CNRS, ISCR (Institut des Sciences Chimiques de Rennes), UMR 6226, Rennes F-35000, France"
688,Jacky ,Even,"Univ Rennes, INSA Rennes, CNRS, Institut FOTON, UMR 6082, Rennes F-35000, France"
689,Claudine ,Katan,"Univ Rennes, ENSCR, INSA Rennes, CNRS, ISCR (Institut des Sciences Chimiques de Rennes), UMR 6226, Rennes F-35000, France"
690,Constantinos C., Stoumpos,"Department of Materials Science and Technology, Voutes Campus, University of Crete, Heraklion GR-70013, Greece"
691,Richard D. ,Schaller,"Center for Nanoscale Materials, Argonne National Laboratory, Illinois 60439, United States"
692,Mercouri G. ,Kanatzidis,"Department of Chemistry, Northwestern University, Illinois 60208, United States"
693,Yao,Gao,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA"
694,Enzheng,Shi,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA"
695,Shibin,Deng,"Department of Chemistry, Purdue University, West Lafayette, IN, USA"
696,Stephen B.,Shiring,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA"
697,Jordan M.,Snaider,"Department of Chemistry, Purdue University, West Lafayette, IN, USA"
698,Chao,Liang,"School of Physical Science and Technology, ShanghaiTech University, Shanghai, China"
699,Biao,Yuan,"School of Physical Science and Technology, ShanghaiTech University, Shanghai, China"
700,Ruyi,Song,"Department of Chemistry, Duke University, Durham, NC, USA"
701,Svenja M.,Janke,"Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC, USA"
702,Alexander,Leibman-Pelaez,"Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Department of Physics, University of California, Berkeley, CA, USA"
703,Pilsun,Yoo,"School of Materials Engineering, Purdue University, West Lafayette, IN, USA"
704,Matthias,Zeller,"Department of Chemistry, Purdue University, West Lafayette, IN, USA"
705,Bryan W.,Boudouris,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA; Department of Chemistry, Purdue University, West Lafayette, IN, USA"
706,Peilin,Liao,"School of Materials Engineering, Purdue University, West Lafayette, IN, USA"
707,Chenhui,Zhu,"Advanced Light Source, Lawrence Berkeley National Laboratory, Berkeley, CA, USA"
708,Volker,Blum,"Department of Chemistry, Duke University, Durham, NC, USA; Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC, USA"
709,Yi,Yu,"School of Physical Science and Technology, ShanghaiTech University, Shanghai, China"
710,Brett M.,Savoie,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA"
711,Libai,Huang,"Department of Chemistry, Purdue University, West Lafayette, IN, USA"
712,Letian,Dou,"Charles D. Davidson School of Chemical Engineering, Purdue University, West Lafayette, IN, USA"
713,Tanja ,Schmitt,"Cavendish Laboratory, University of Cambridge, Cambridge CB3 0HE, United Kingdom"
714,Sean ,Bourelle,"Cavendish Laboratory and Cambridge Graphene Centre, University of Cambridge, Cambridge CB3 0HE, United Kingdom"
715,Nathaniel, Tye,"Cavendish Laboratory and Cambridge Graphene Centre, University of Cambridge, Cambridge CB3 0HE, United Kingdom"
716,Giancarlo ,Soavi,"Cambridge Graphene Centre, University of Cambridge, Cambridge CB3 0FA, United Kingdom"
717,Andrew D., Bond,"Department of Chemistry, University of Cambridge, Cambridge CB2 1EW, United Kingdom"
718,Sascha ,Feldmann,"Cavendish Laboratory, University of Cambridge, Cambridge CB3 0HE, United Kingdom"
719,Boubacar, Traore,"Institut des Sciences Chimiques de Rennes, Universitede Rennes 1, F-35700 Rennes, France"
