id,author_id,reference_id
1,1,12
2,2,11
3,9,11
4,2,10
5,9,10
6,8,9
7,10,9
8,11,9
9,12,9
10,7,8
11,13,8
12,14,8
13,15,8
14,16,8
15,5,7
16,17,7
17,18,7
18,19,7
19,20,7
20,21,7
21,1,7
22,4,6
23,22,6
24,5,6
25,23,6
26,24,6
27,25,6
28,26,6
29,1,6
30,6,6
31,27,5
32,28,5
33,3,5
34,2,4
35,9,4
39,31,2
40,31,3
42,29,3
44,30,3
45,31,1
46,32,13
47,33,13
48,34,13
49,35,13
50,36,13
51,37,13
52,38,13
53,39,13
54,40,14
55,41,14
56,42,14
57,43,14
58,44,14
59,45,15
60,46,15
61,47,15
62,48,17
63,49,17
64,50,17
65,51,17
66,52,17
67,53,17
68,54,17
69,55,18
70,56,18
71,57,18
72,58,18
73,59,18
74,60,18
75,61,19
76,62,19
77,63,19
78,64,19
79,65,19
80,66,19
81,67,20
82,68,20
83,69,20
84,70,20
85,71,20
86,72,20
87,73,20
88,74,20
89,75,20
90,76,20
91,77,20
92,78,21
93,79,21
94,80,21
95,81,21
96,82,21
97,83,21
98,84,21
99,85,21
100,86,21
101,87,22
102,88,22
103,89,22
104,90,23
105,91,23
106,92,23
107,93,23
108,94,23
109,95,23
110,96,23
111,97,23
112,98,23
113,99,23
114,100,23
115,101,24
116,102,24
117,103,24
118,104,24
119,105,24
120,106,24
121,107,24
122,108,25
123,109,25
124,110,25
125,111,25
126,112,26
127,113,26
128,114,26
129,115,26
130,116,26
131,117,26
132,118,27
133,119,27
134,120,27
135,121,27
136,122,28
137,123,28
138,124,29
139,125,29
140,126,30
141,127,30
142,128,30
143,129,30
144,130,30
145,131,31
146,132,31
147,133,31
148,134,31
149,135,31
150,136,32
151,137,32
152,138,32
153,139,32
154,140,32
155,141,32
156,142,32
157,143,32
158,144,32
159,145,32
160,146,33
161,147,33
162,148,33
163,149,33
164,150,33
167,152,36
168,153,36
169,154,36
170,155,36
171,156,36
172,157,36
173,158,36
174,159,36
175,160,36
176,161,36
177,162,36
178,163,36
179,164,36
180,165,37
181,166,37
182,167,37
183,168,38
184,169,38
185,170,38
186,171,39
187,172,39
188,173,39
189,174,39
190,175,40
191,176,40
192,177,40
193,178,40
194,179,40
195,180,40
196,181,40
197,182,40
198,183,40
199,184,40
200,185,40
201,186,40
202,187,41
203,188,41
204,189,41
205,190,41
206,191,41
207,192,41
208,193,41
209,194,42
210,195,42
211,196,42
212,197,42
213,198,42
214,199,42
215,200,42
216,201,42
217,202,42
218,203,42
219,204,42
220,205,43
221,206,43
222,207,43
223,208,43
224,209,43
225,210,43
226,211,43
227,212,43
228,213,44
229,214,44
230,215,44
231,216,44
232,217,44
233,218,44
234,219,44
235,220,44
236,221,44
237,222,44
238,223,44
239,224,44
240,225,44
241,226,44
242,227,44
243,228,45
244,172,45
245,171,45
246,229,45
247,174,45
248,230,46
249,231,46
250,232,46
251,233,46
252,234,46
253,235,47
254,236,47
255,237,47
256,238,47
257,239,47
258,240,47
259,241,47
260,242,47
261,243,48
262,244,48
263,245,48
264,246,48
265,247,48
266,248,48
267,249,48
268,250,48
269,251,49
270,252,49
